fiscal_year,population,births,deaths,migration
FY1972-1973,2864626,68716,18970,-42335
FY1973-1974,2872037,68810,19476,-30139
FY1974-1975,2891232,69819,19168,364
FY1975-1976,2942247,70955,19822,25269
FY1976-1977,3018649,74603,18863,3460
FY1977-1978,3077849,75184,20430,-8501
FY1978-1979,3124102,73314,20165,-15263
FY1979-1980,3161988,74138,20360,-9846
FY1980-1981,3205920,71945,20931,-5460
FY1981-1982,3251474,71026,21263,-11639
FY1982-1983,3289598,68038,21660,-16445
FY1983-1984,3319531,63709,21311,-16811
FY1984-1985,3345118,64039,22882,-12477
FY1985-1986,3373798,62713,23030,-12301
FY1986-1987,3401180,64311,23656,-13186
FY1987-1988,3428649,63955,24915,-11404
FY1988-1989,3456285,65256,25373,-4065
FY1989-1990,3492103,67355,25966,-10706
FY1990-1991,3522786,65320,26387,-16895
FY1991-1992,3544824,64075,26721,-13986
FY1992-1993,3568192,65255,28544,-11536
FY1993-1994,3593367,65126,27785,-9874
FY1994-1995,3620834,64075,29360,-7477
FY1995-1996,3648072,62765,29746,-3773
FY1996-1997,3677318,63907,30462,-2587
FY1997-1998,3708176,62436,28287,-2047
FY1998-1999,3740278,59356,30226,3046
FY1999-2000,3772454,60137,29503,-3774
FY2000-2001,3799314,58527,27801,-21426
FY2001-2002,3808614,54262,28691,-21927
FY2002-2003,3812258,51903,28089,-21814
FY2003-2004,3814258,50609,29140,-21664
FY2004-2005,3814063,51027,29544,-27678
FY2005-2006,3807868,49617,28535,-37044
FY2006-2007,3791906,48178,29153,-41876
FY2007-2008,3769055,46136,29284,-39642
FY2008-2009,3746265,45229,29238,-36456
FY2009-2010,3725800,43936,28548,-36669
FY2010-2011,3704519,41306,30334,-54751
FY2011-2012,3660740,40373,29812,-54814
FY2012-2013,3616487,37958,29527,-52180
FY2013-2014,3572738,35791,29108,-64574
FY2014-2015,3514847,33046,30198,-66483
FY2015-2016,3451212,30181,28790,-68694
FY2016-2017,3383909,26290,29814,-86180
FY2017-2018,3294205,22196,31115,-112174
FY2018-2019,3173112,21564,29474,11474
FY2019-2020,3176676,19672,29898,86558
